Placing Application(tasks=3):
- SourceTask(id=0, cu=0.1) on Node('sensor', cu=0/1).
- ProcessingTask(id=1, cu=5) on Node('fog', cu=0/400).
- SinkTask(id=2, cu=0.5) on Node('cloud', cu=0/inf).
- DataFlow(bit_rate=1000) on [Link('sensor' -> 'fog', bandwidth=0/30000000.0, latency=10)].
- DataFlow(bit_rate=200) on [Link('fog' -> 'cloud', bandwidth=0/1000000000.0, latency=5)].
0: cloud_and_fog_meter: PowerMeasurement(dynamic=2.38W, static=30.00W)
0: infrastructure_meter: PowerMeasurement(dynamic=2.54W, static=30.20W)
0.5: application_meter: PowerMeasurement(dynamic=2.54W, static=30.20W)
1: cloud_and_fog_meter: PowerMeasurement(dynamic=2.38W, static=30.00W)
1.5: application_meter: PowerMeasurement(dynamic=2.54W, static=30.20W)
2: infrastructure_meter: PowerMeasurement(dynamic=2.54W, static=30.20W)
2: cloud_and_fog_meter: PowerMeasurement(dynamic=2.38W, static=30.00W)
2.5: application_meter: PowerMeasurement(dynamic=2.54W, static=30.20W)
3: cloud_and_fog_meter: PowerMeasurement(dynamic=2.38W, static=30.00W)
3.5: application_meter: PowerMeasurement(dynamic=2.54W, static=30.20W)
4: infrastructure_meter: PowerMeasurement(dynamic=2.54W, static=30.20W)
4: cloud_and_fog_meter: PowerMeasurement(dynamic=2.38W, static=30.00W)
4.5: application_meter: PowerMeasurement(dynamic=2.54W, static=30.20W)
